id country experiment theory score
1 1 9.4 21.900000000000002 31.300000000000004
2 1 8.9 19.599999999999994 28.499999999999993
3 1 15.999999999999996 25.400000000000006 41.400000000000006
4 1 12.299999999999999 21.500000000000004 33.800000000000004
5 1 5.4 11.6 17.0
6 2 8.299999999999999 24.3 32.6
7 2 6.4 22.3 28.700000000000003
8 2 7.999999999999999 17.4 25.4
9 2 9.6 22.2 31.799999999999997
10 2 11.700000000000001 18.3 30.0
11 3 7.1 19.1 26.200000000000003
12 3 8.7 24.800000000000004 33.5
13 3 4.6 19.200000000000003 23.800000000000004
14 3 5.999999999999998 17.0 23.0
15 3 3.2000000000000006 14.299999999999999 17.5
16 4 6.600000000000001 14.999999999999998 21.6
17 4 5.400000000000001 19.2 24.6
18 4 9.5 15.999999999999998 25.5
19 4 3.8 2.6999999999999997 6.5
20 4 4.499999999999999 7.8999999999999995 12.399999999999999
21 5 8.6 9.8 18.4
22 5 8.900000000000002 9.8 18.700000000000003
23 5 2.6 6.7 9.3
24 5 4.1000000000000005 15.100000000000001 19.200000000000003
25 5 2.0 8.2 10.2
26 6 6.2 6.000000000000001 12.200000000000001
27 6 6.500000000000001 18.4 24.9
28 6 4.0 7.699999999999999 11.7
29 6 3.7 14.000000000000002 17.700000000000003
30 6 7.6000000000000005 12.2 19.8
31 7 13.199999999999998 16.4 29.599999999999994
32 7 7.900000000000001 23.000000000000004 30.900000000000006
33 7 7.9 13.199999999999998 21.099999999999998
34 7 7.1 17.7 24.799999999999997
35 7 6.4 16.400000000000002 22.800000000000004
36 8 8.7 25.700000000000003 34.400000000000006
37 8 2.6000000000000005 7.800000000000002 10.400000000000002
38 8 11.099999999999998 24.599999999999998 35.699999999999996
39 8 4.1 16.400000000000002 20.5
40 8 1.7999999999999998 7.700000000000001 9.5
41 9 10.1 21.4 31.5
42 9 15.7 26.5 42.2
43 9 5.8 17.4 23.2
44 9 6.0 12.799999999999999 18.799999999999997
45 9 9.1 16.9 26.0
46 10 0.7 6.200000000000001 6.900000000000001
47 11 5.3999999999999995 17.900000000000002 23.3
48 11 9.5 24.3 33.8
49 11 7.2 20.0 27.2
50 11 8.7 17.7 26.4
51 11 17.200000000000003 23.400000000000006 40.60000000000001
52 12 6.900000000000002 21.9 28.8
53 12 5.5 18.8 24.3
54 12 4.3999999999999995 23.0 27.4
55 12 9.6 19.3 28.9
56 12 6.400000000000001 16.999999999999996 23.4
57 13 4.3 13.5 17.8
58 13 4.199999999999999 18.000000000000004 22.200000000000003
59 13 5.000000000000001 17.0 22.0
60 13 4.8 16.5 21.3
61 13 5.700000000000001 18.200000000000003 23.900000000000006
62 14 16.8 28.000000000000004 44.800000000000004
63 14 17.3 26.800000000000008 44.10000000000001
64 14 19.8 28.000000000000007 47.80000000000001
65 14 18.800000000000004 29.300000000000008 48.10000000000001
66 14 19.4 27.10000000000001 46.50000000000001
67 15 7.6000000000000005 18.0 25.6
68 15 3.599999999999999 10.8 14.4
69 15 6.700000000000001 15.800000000000004 22.500000000000007
70 15 7.800000000000001 14.2 22.0
71 15 3.7 13.500000000000004 17.200000000000003
72 16 3.8 13.900000000000002 17.700000000000003
73 17 7.3999999999999995 10.2 17.599999999999998
74 17 1.2000000000000002 3.9 5.1
75 17 1.8 11.699999999999998 13.499999999999998
76 17 6.700000000000001 11.0 17.700000000000003
77 18 7.200000000000001 20.099999999999994 27.299999999999997
78 18 8.499999999999998 17.799999999999994 26.29999999999999
79 18 7.000000000000001 11.5 18.5
80 18 4.700000000000001 16.4 21.1
81 18 6.800000000000001 22.1 28.900000000000002
82 19 7.9 24.900000000000006 32.800000000000004
83 19 16.7 23.700000000000006 40.400000000000006
84 19 11.099999999999998 20.0 31.099999999999998
85 19 13.6 18.5 32.1
86 19 7.1000000000000005 24.0 31.1
87 20 2.9999999999999996 13.7 16.7
88 20 2.5000000000000004 7.1 9.6
89 20 3.4000000000000004 19.3 22.700000000000003
90 20 5.400000000000001 14.700000000000001 20.1
91 20 8.2 19.900000000000006 28.100000000000005
92 21 1.1 7.2 8.3
93 21 1.9 2.1999999999999997 4.1
94 22 6.300000000000002 16.6 22.900000000000002
95 22 1.2999999999999998 9.9 11.2
96 22 3.7000000000000006 19.799999999999994 23.499999999999993
97 22 3.9000000000000004 10.3 14.200000000000001
98 22 0.8 7.6000000000000005 8.4
99 23 5.1000000000000005 13.9 19.0
100 23 6.2 19.1 25.3
101 23 3.5 16.099999999999998 19.599999999999998
102 23 8.4 22.3 30.700000000000003
103 23 3.7 15.800000000000002 19.500000000000004
104 24 17.9 19.900000000000002 37.8
105 24 10.700000000000003 18.7 29.400000000000002
106 24 5.8 20.800000000000004 26.600000000000005
107 24 4.6000000000000005 6.9 11.5
108 24 5.4 13.0 18.4
109 25 8.3 22.900000000000002 31.200000000000003
110 25 6.900000000000001 20.699999999999996 27.599999999999998
111 25 10.099999999999998 26.500000000000007 36.60000000000001
112 25 7.7 23.200000000000003 30.900000000000002
113 25 6.6000000000000005 12.8 19.400000000000002
114 26 11.500000000000002 18.599999999999998 30.1
115 26 6.600000000000001 18.999999999999996 25.599999999999998
116 26 8.0 15.599999999999998 23.599999999999998
117 26 11.1 20.0 31.1
118 26 11.299999999999997 20.700000000000003 32.0
119 27 11.999999999999998 20.0 32.0
120 27 9.9 21.699999999999996 31.599999999999994
121 27 7.200000000000001 18.1 25.300000000000004
122 27 6.600000000000001 25.300000000000008 31.90000000000001
123 27 6.6000000000000005 16.2 22.8
124 28 6.300000000000002 12.700000000000001 19.000000000000004
